,artistName,artistCountry
0,Jin,KR
1,Drake,CA
2,The Weeknd,CA
3,Arijit Singh,IN
4,Playboi Carti,US
5,Kendrick Lamar,US
6,Ariana Grande,US
7,Taylor Swift,US
8,Pritam,IN
9,Sleep Guardian,DE
10,Travis Scott,US
11,Bruno Mars,US
12,Billie Eilish,US
13,SZA,US
14,PARTYNEXTDOOR,CA
15,A.R. Rahman,IN
16,Anirudh Ravichander,IN
17,Coldplay,GB
18,Future,US
19,Lady Gaga,US
20,Bretolyx,AE
21,Sabrina Carpenter,US
22,Justin Bieber,CA
23,JENNIE,KR
24,Kanye West,US
25,Shreya Ghoshal,IN
26,Ed Sheeran,GB
27,Chris Brown,US
28,Lana Del Rey,US
29,Rihanna,BB
30,Metro Boomin,US
31,Selena Gomez,US
32,Tate McRae,CA
33,K. J. Yesudas,IN
34,Dua Lipa,GB
35,Bad Bunny,PR
36,Cigarettes After Sex,US
37,21 Savage,US
38,Don Toliver,US
39,Eminem,US
40,Maroon 5,US
41,Vishal-Shekhar,IN
42,Gracie Abrams,US
43,SB19,PH
44,K. S. Chithra,IN
45,David Guetta,FR
46,TJ Monterde,PH
47,Atif Aslam,PK
48,Dionela,PH
49,Frank Ocean,US
50,Doja Cat,US
51,Amitabh Bhattacharya,IN
52,Diljit Dosanjh,IN
53,Post Malone,US
54,ROSÉ,KR
55,BTS,KR
56,"Tyler, The Creator",US
57,Gunna,US
58,Nemzzz,GB
59,Arctic Monkeys,GB
60,Teddy Swims,US
61,Doechii,US
62,M. G. Sreekumar,IN
63,The Marías,US
64,AP Dhillon,CA
65,Lil Baby,US
66,benny blanco,US
67,Adele,GB
68,Olivia Rodrigo,US
69,The Neighbourhood,US
70,Amr Diab,EG
71,Sia,AU
72,Daniel Caesar,CA
73,Jung Kook,KR
74,Vidyasagar,IN
75,Pitbull,US
76,G. V. Prakash,IN
77,Collins Ps,GB
78,Ilaiyaraaja,IN
79,Imagine Dragons,US
80,Lil Tecca,US
81,Benson Boone,US
82,Katy Perry,US
83,Tory Lanez,CA
84,HUGEL,FR
85,Udit Narayan,IN
86,Camila Cabello,US
87,Yo Yo Honey Singh,IN
88,USHER,US
89,Burna Boy,NG
90,Shankar Mahadevan,IN
91,Beyoncé,US
92,Linkin Park,US
93,J. Cole,US
94,A$AP Rocky,US
95,The Chainsmokers,US
96,Chappell Roan,US
97,OneRepublic,US
98,Tanishk Bagchi,IN
99,XXXTENTACION,US
100,Yuvan Shankar Raja,IN
101,Shankar-Ehsaan-Loy,IN
102,Hillsong Worship,AU
103,Chase Atlantic,AU
104,Ne-Yo,US
105,Khalid,US
106,Juice WRLD,US
